rank,listing_type,id,name,author,author_alias,attribution_link,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
33,map,los-angeles-county,Los Angeles County,rslurry,slurry,https://github.com/rslurry,48,48,1005,1005,957,957,snapshot_2026_05_21.json,snapshot_2026_05_14.json
34,mod,game-speedup,Game SpeedUp,Valdotorium,Valdotorium,https://github.com/Valdotorium,48,48,568,568,520,520,snapshot_2026_05_21.json,snapshot_2026_05_14.json
35,map,busan-4,Busan (40km×40km),kimth9,kimth9,https://github.com/kimth9,46,46,570,570,524,524,snapshot_2026_05_21.json,snapshot_2026_05_14.json
36,map,yukina-pl-katowice-gzm,Katowice - GZM,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,46,46,61,61,15,15,snapshot_2026_05_21.json,snapshot_2026_05_14.json
37,map,sydney,Sydney,WillBarouch,WillBarouch,https://github.com/WillBarouch,45,45,777,777,732,732,snapshot_2026_05_21.json,snapshot_2026_05_14.json
38,map,glasgow-edinburgh,Glasgow-Edinburgh,Kronifer,Kronifer,https://github.com/Kronifer,45,45,752,752,707,707,snapshot_2026_05_21.json,snapshot_2026_05_14.json
39,map,shanghai,Shanghai,Kronifer,Kronifer,https://github.com/Kronifer,45,45,333,333,288,288,snapshot_2026_05_21.json,snapshot_2026_05_14.json
40,map,incheon-4,Incheon (40km×40km),kimth9,kimth9,https://github.com/kimth9,44,44,424,424,380,380,snapshot_2026_05_21.json,snapshot_2026_05_14.json
41,map,mfn-hong-kong,Hong Kong,crumpetime,muffintime,https://github.com/crumpetime,42,42,1030,1030,988,988,snapshot_2026_05_21.json,snapshot_2026_05_14.json
42,map,yukina-cz-brno,Brno,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,42,42,164,164,122,122,snapshot_2026_05_21.json,snapshot_2026_05_14.json
43,map,tijuana-san-diego,Tijuana-San Diego,rslurry,slurry,https://github.com/rslurry,42,42,118,118,76,76,snapshot_2026_05_21.json,snapshot_2026_05_14.json
44,map,yukina-pl-wroclaw,Wrocław,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,42,42,112,112,70,70,snapshot_2026_05_21.json,snapshot_2026_05_14.json
45,map,amsterdam,Amsterdam,ryandicicco,ryandicicco,https://github.com/ryandicicco,41,41,811,811,770,770,snapshot_2026_05_21.json,snapshot_2026_05_14.json
