rank,id,name,author,author_alias,attribution_link,city_code,country,population,population_count,points_count,n_cells,mean_point_density,median_resident_weighted_nn_km,mean_resident_weighted_nn_km,median_worker_weighted_nn_km,mean_worker_weighted_nn_km,detail_radius_km,detail_score,playable_area_cells,median_cell_resident_density,mean_cell_resident_density,pct_cells_with_residents,median_cell_worker_density,mean_cell_worker_density,pct_cells_with_workers,median_commute_distance,mean_commute_distance,detected_center_count,polycentrism_score
72,yukina-pl-katowice-gzm,Katowice - GZM,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,KTW,PL,1286481,35078,24255,5026,4.82,0.131,0.158,0.154,0.183,0.142,1,5808,94,288.52,88.7,124,363.7,70.37,7154,13140.8,2,0.84
73,daytonatti,Daytonatti,soccerjonj,soccerjonj,https://github.com/soccerjonj,DAY,US,1226849,123534,5835,4705,1.24,0.664,0.755,0.461,0.531,0.553,0.41,11934,117,266.17,97.96,91,314.29,82.87,30096,37089.7,2,0.7
74,pyongyang-nk,Pyongyang,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,PYO,KP,1210086,7078,267,135,1.95,0.458,0.548,0.443,0.5,0.45,0.61,220,7399,8638.28,100,320,643.25,53.33,5527,5982.6,1,0.15
75,valencia,Valencia,Maximilian284,max02,https://github.com/Maximilian284,ESVA,ES,1179110,8675,4882,1355,3.6,0.188,0.22,0.177,0.211,0.182,1,2872,355,984.75,88.34,312,1876.75,46.35,9534.3,14325.14,1,0.75
76,orlando,Orlando,rslurry,slurry,https://github.com/rslurry,MCO,US,1178384,100423,2364,1674,1.41,0.655,0.705,0.378,0.435,0.497,0.65,2851,515,730.99,96.3,152,745.19,94.15,24503,26511.7,3,0.61
77,pianura-veneta,Pianura Veneta,Maximilian284,max02,https://github.com/Maximilian284,VPT,IT,1165753,12448,8150,2365,3.44,0.196,0.224,0.185,0.185,0.19,0.99,3282,307,549.97,89.6,108,1452.96,33.91,11692.1,19071.63,2,0.67
78,rhode-island,Rhode Island,rslurry,slurry,https://github.com/rslurry,GPVD,US,1118241,127441,4001,3478,1.15,0.663,0.802,0.517,0.627,0.586,0.27,10300,136,331.5,96.98,103,354.19,90.71,22498,26384.98,1,0.88
79,yukina-pl-krakow,Kraków,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,KRK,PL,1056231,33128,23118,6236,3.71,0.146,0.179,0.155,0.179,0.15,1,6404,60,180.69,93.73,58,262.2,64.59,6322,11351.13,1,0.58
80,tampa-bay,Tampa Bay,rslurry,slurry,https://github.com/rslurry,TPA,US,1041220,92488,3371,2245,1.5,0.618,0.667,0.456,0.502,0.531,0.59,3726,346,470.47,98.57,154,493.82,93.81,28158,30573.96,3,0.66
81,johor-bahru,Johor Bahru,nzh0172,naz,https://github.com/nzh0172,JHB,MY,1026080,11110,877,472,1.85,0.15,0.346,0.374,0.597,0.237,0.88,1240,1617,4980.97,43.64,1666,3705.47,80.51,17476,18928.73,2,0.8
82,yukina-sendai,仙台 (Sendai),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,SDJ,JP,1016521,16010,5082,1097,4.63,0.195,0.205,0.17,0.198,0.182,0.94,1320,410,1103.42,83.96,415,1144.5,80.95,6096,8846.55,1,0.21
83,greater-baltimore,Greater Baltimore,rslurry,slurry,https://github.com/rslurry,BWI,US,972032,75010,2920,1970,1.47,0.541,0.601,0.457,0.496,0.497,0.65,3017,304,493.1,99.54,169,497.13,96.7,25523,27835.66,1,0.59
84,garda-lake,Garda Lake,Maximilian284,max02,https://github.com/Maximilian284,GRD,IT,959863,12896,7994,2066,3.87,0.192,0.212,0.169,0.183,0.18,0.99,2331,304,525.57,88.33,188,922.73,50.34,6838.2,19773.8,3,0.65
85,yukina-okayama,岡山 (Okayama),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,OKJ,JP,948854,16352,6665,1805,3.69,0.218,0.242,0.191,0.218,0.204,0.94,2457,220,595.86,88.2,245,717.59,73.24,7833,11460.53,2,0.39
86,san-antonio,San Antonio,rslurry,slurry,https://github.com/rslurry,SAT,US,946870,106855,4525,3684,1.23,0.639,0.748,0.447,0.55,0.534,0.38,10159,87,271.22,94.76,71,369.76,69.49,31387,36215.03,2,0.55
